Conf,Title,Link
AAAI2019,Paraphrase Diversification Using Counterfactual Debiasing.,https://doi.org/10.1609/aaai.v33i01.33016883
AAAI2019,Partial Awareness.,https://doi.org/10.1609/aaai.v33i01.33012851
AAAI2019,Path-Specific Counterfactual Fairness.,https://doi.org/10.1609/aaai.v33i01.33017801
AAAI2019,Preference-Aware Task Assignment in On-Demand Taxi Dispatching - An Online Stable Matching Approach.,https://doi.org/10.1609/aaai.v33i01.33012245
AAAI2019,Preference-Aware Task Assignment in Spatial Crowdsourcing.,https://doi.org/10.1609/aaai.v33i01.33012629
AAAI2019,Relation Structure-Aware Heterogeneous Information Network Embedding.,https://doi.org/10.1609/aaai.v33i01.33014456
AAAI2019,RepeatNet - A Repeat Aware Neural Recommendation Machine for Session-Based Recommendation.,https://doi.org/10.1609/aaai.v33i01.33014806
AAAI2019,Response Generation by Context-Aware Prototype Editing.,https://doi.org/10.1609/aaai.v33i01.33017281
AAAI2019,SADIH - Semantic-Aware DIscrete Hashing.,https://doi.org/10.1609/aaai.v33i01.33015853
AAAI2019,Semi-Supervised Feature Selection with Adaptive Discriminant Analysis.,https://doi.org/10.1609/aaai.v33i01.330110083
AAAI2019,Syntax-Aware Neural Semantic Role Labeling.,https://doi.org/10.1609/aaai.v33i01.33017305
AAAI2019,T-Center - A Novel Discriminative Feature Extraction Approach for Iris Recognition.,https://doi.org/10.1609/aaai.v33i01.33019929
AAAI2019,Text Assisted Insight Ranking Using Context-Aware Memory Network.,https://doi.org/10.1609/aaai.v33i01.3301427
AAAI2019,Towards Optimal Discrete Online Hashing with Balanced Similarity.,https://doi.org/10.1609/aaai.v33i01.33018722
AAAI2019,Towards Personalized Review Summarization via User-Aware Sequence Network.,https://doi.org/10.1609/aaai.v33i01.33016690
AAAI2018,A Low-Cost Ethics Shaping Approach for Designing Reinforcement Learning Agents.,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/16195
AAAI2018,A Recursive Algorithm to Generate Balanced Weekend Tournaments.,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/16293
AAAI2018,A Voting-Based System for Ethical Decision Making.,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/17052
AAAI2018,"Addressing the Technical, Philosophical, and Ethical Issues of Artificial Intelligence Through Active Learning Class Assignments.",https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/16408
AAAI2018,Adversarial Discriminative Heterogeneous Face Recognition.,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/16729
AAAI2018,Assertion-Based QA With Question-Aware Open Information Extraction.,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/16705
AAAI2018,Auto-Balanced Filter Pruning for Efficient Convolutional Neural Networks.,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/16450
